menu_item,orders,quantity_sold,revenue,discount,category,selling_price,ingredient_cost,packaging_cost,labor_cost,total_cogs,food_cost_pct,supplier,total_cost,gross_profit,profit_margin_pct,avg_revenue_per_order
Chicken Sandwich Combo,129,151,1494.64,16.92,Wrap,9.01,2.46,0.31,0.31,3.08,34.2,Fresh Farms,465.08,1029.5600000000002,68.88347695766205,11.586356589147288
Cheeseburger Combo,119,150,1356.97,8.209999999999999,Burger,8.51,2.46,0.31,0.3,3.07,36.1,Fresh Farms,460.5,896.47,66.06409869046479,11.403109243697479
Spicy Chicken Combo,93,115,1127.35,9.93,Other,9.24,2.38,0.3,0.29,2.97,32.1,Prime Foods,341.55,785.8,69.70328646826628,12.122043010752687
Double Cheeseburger Combo,72,82,853.33,7.02,Burger,9.96,2.74,0.34,0.35,3.43,34.4,Fresh Farms,281.26,572.07,67.03971499888671,11.851805555555556
Chicken Sandwich,109,133,806.92,9.709999999999999,Wrap,5.4,1.58,0.2,0.2,1.98,36.7,Fresh Farms,263.34,543.5799999999999,67.36479452733852,7.402935779816513
Spicy Chicken Sandwich,92,110,696.69,7.13,Wrap,5.71,1.5,0.19,0.18,1.87,32.7,Fresh Farms,205.70000000000002,490.99,70.4746730970733,7.572717391304349
Cheeseburger,102,122,577.33,7.48,Burger,4.51,1.34,0.17,0.16,1.67,37.0,Fresh Farms,203.73999999999998,373.59000000000003,64.7099579096877,5.660098039215686
Double Cheeseburger,71,83,513.31,3.62,Burger,5.75,1.5,0.19,0.18,1.87,32.5,Fresh Farms,155.21,358.0999999999999,69.76291130116303,7.229718309859154
French Fries,112,170,492.8,4.9,Sides,2.66,0.57,0.07,0.07,0.71,26.7,Golden Potatoes,120.69999999999999,372.1,75.5073051948052,4.4
Onion Rings,87,128,438.37,3.62,Other,3.14,0.83,0.1,0.11,1.04,33.1,Prime Foods,133.12,305.25,69.63295845974862,5.038735632183908
Chicken Nuggets (10pc),46,80,429.96,4.12,Other,5.01,1.25,0.16,0.15,1.56,31.1,Prime Foods,124.80000000000001,305.15999999999997,70.97404409712532,9.34695652173913
Veggie Burger,54,66,396.39,3.0300000000000002,Burger,5.26,1.51,0.19,0.19,1.89,35.9,Fresh Farms,124.74,271.65,68.53099220464694,7.3405555555555555
Egg Muffin,83,97,371.66,3.5900000000000003,Other,3.25,0.88,0.11,0.11,1.1,33.8,Prime Foods,106.7,264.96000000000004,71.29096486035624,4.477831325301205
Breakfast Burrito,55,66,290.02,4.2299999999999995,Other,3.74,1.06,0.13,0.13,1.32,35.3,Prime Foods,87.12,202.89999999999998,69.96069236604372,5.273090909090909
Coffee,82,98,217.64,2.74,Beverage,1.93,0.27,0.03,0.04,0.34,17.6,Beverage Distributors,33.32,184.32,84.69031428046316,2.6541463414634143
Soft Drink (Medium),64,101,198.59,3.35,Other,1.75,0.46,0.06,0.06,0.58,33.1,Prime Foods,58.58,140.01,70.50203937761216,3.10296875
Chicken Nuggets (6pc),31,44,174.56,0.6,Other,3.76,1.0,0.12,0.13,1.25,33.2,Prime Foods,55.0,119.56,68.49220898258478,5.630967741935484
Latte,40,47,172.14,3.03,Other,3.29,0.83,0.1,0.11,1.04,31.6,Prime Foods,48.88,123.25999999999999,71.60450795863832,4.3035
Sausage Biscuit,37,47,164.64,1.7799999999999998,Other,3.0,0.81,0.1,0.1,1.01,33.7,Prime Foods,47.47,117.16999999999999,71.16739552964042,4.44972972972973
Milkshake,28,35,152.1,1.9500000000000002,Other,4.01,1.06,0.13,0.13,1.32,32.9,Prime Foods,46.2,105.89999999999999,69.62524654832347,5.432142857142857
Pancake Platter,21,24,128.06,1.04,Other,4.89,1.38,0.17,0.18,1.73,35.4,Prime Foods,41.519999999999996,86.54,67.57769795408403,6.0980952380952385
Hash Browns,46,51,123.69,0.0,Other,1.9,0.46,0.06,0.05,0.57,29.9,Prime Foods,29.069999999999997,94.62,76.49769585253456,2.688913043478261
Ice Cream Cone,30,42,84.83,0.0,Other,1.63,0.46,0.06,0.06,0.58,35.6,Prime Foods,24.36,60.47,71.28374395850524,2.8276666666666666
Iced Tea,31,38,84.27,0.73,Beverage,1.89,0.3,0.04,0.03,0.37,19.6,Beverage Distributors,14.06,70.21,83.31553340453304,2.7183870967741934
Bottled Water,40,45,76.3,1.62,Other,1.43,0.4,0.05,0.05,0.5,35.0,Prime Foods,22.5,53.8,70.51114023591087,1.9075
Side Salad,17,21,63.11,0.3,Other,2.9,0.82,0.1,0.11,1.03,35.5,Prime Foods,21.63,41.480000000000004,65.7265092695294,3.7123529411764706
Soft Drink (Large),17,26,57.23,1.3399999999999999,Other,1.99,0.52,0.07,0.06,0.65,32.7,Prime Foods,16.900000000000002,40.33,70.47003319937096,3.366470588235294
Soft Drink (Small),16,22,42.8,0.11,Other,1.54,0.41,0.05,0.05,0.51,33.0,Prime Foods,11.22,31.58,73.78504672897196,2.675
Brownie,10,10,21.7,0.18,Other,1.85,0.45,0.06,0.05,0.56,30.3,Prime Foods,5.6000000000000005,16.099999999999998,74.19354838709677,2.17
Apple Pie,9,10,18.51,0.69,Other,1.54,0.38,0.05,0.05,0.48,31.2,Prime Foods,4.8,13.71,74.06807131280388,2.0566666666666666
