menu_item,category,selling_price,ingredient_cost,packaging_cost,labor_cost,total_cogs,food_cost_pct,ingredient_cost_pct,packaging_cost_pct,labor_cost_pct,total_cogs_pct,profit_per_unit,cost_to_price_ratio,orders,quantity_sold,revenue,gross_profit,profit_margin_pct,food_cost_level,cogs_level,high_food_cost_flag
Cheeseburger,Burger,4.51,1.34,0.17,0.16,1.67,37.0,29.71175166297118,3.7694013303769403,3.5476718403547673,37.028824833702885,2.84,0.37028824833702884,102,122,577.33,373.59,64.7099579096877,High,High,True
Chicken Sandwich,Wrap,5.4,1.58,0.2,0.2,1.98,36.7,29.259259259259256,3.7037037037037033,3.7037037037037033,36.666666666666664,3.4200000000000004,0.36666666666666664,109,133,806.92,543.5799999999999,67.36479452733852,High,High,True
Cheeseburger Combo,Burger,8.51,2.46,0.31,0.3,3.07,36.1,28.90716803760282,3.6427732079905994,3.525264394829612,36.07520564042303,5.4399999999999995,0.3607520564042303,119,150,1356.97,896.47,66.06409869046479,High,High,True
Veggie Burger,Burger,5.26,1.51,0.19,0.19,1.89,35.9,28.707224334600763,3.6121673003802286,3.6121673003802286,35.93155893536122,3.37,0.3593155893536122,54,66,396.39,271.65,68.53099220464694,High,High,True
Ice Cream Cone,Other,1.63,0.46,0.06,0.06,0.58,35.6,28.220858895705526,3.6809815950920246,3.6809815950920246,35.58282208588957,1.0499999999999998,0.3558282208588957,30,42,84.83,60.47,71.28374395850524,High,Low,True
Side Salad,Other,2.9,0.82,0.1,0.11,1.03,35.5,28.27586206896552,3.4482758620689653,3.793103448275862,35.51724137931035,1.8699999999999999,0.3551724137931035,17,21,63.11,41.48,65.7265092695294,High,Low,True
Pancake Platter,Other,4.89,1.38,0.17,0.18,1.73,35.4,28.22085889570552,3.476482617586912,3.6809815950920246,35.37832310838446,3.1599999999999997,0.3537832310838446,21,24,128.06,86.54,67.57769795408403,High,High,True
Breakfast Burrito,Other,3.74,1.06,0.13,0.13,1.32,35.3,28.342245989304814,3.4759358288770055,3.4759358288770055,35.294117647058826,2.42,0.35294117647058826,55,66,290.02,202.9,69.96069236604372,High,High,True
Bottled Water,Other,1.43,0.4,0.05,0.05,0.5,35.0,27.972027972027973,3.4965034965034967,3.4965034965034967,34.96503496503497,0.9299999999999999,0.3496503496503497,40,45,76.3,53.8,70.51114023591087,High,Low,False
Double Cheeseburger Combo,Burger,9.96,2.74,0.34,0.35,3.43,34.4,27.510040160642568,3.413654618473896,3.5140562248995977,34.437751004016064,6.530000000000001,0.34437751004016065,72,82,853.33,572.07,67.03971499888671,High,High,False
Chicken Sandwich Combo,Wrap,9.01,2.46,0.31,0.31,3.08,34.2,27.30299667036626,3.4406215316315207,3.4406215316315207,34.184239733629305,5.93,0.341842397336293,129,151,1494.64,1029.5600000000002,68.88347695766205,High,High,False
Egg Muffin,Other,3.25,0.88,0.11,0.11,1.1,33.8,27.076923076923077,3.3846153846153846,3.3846153846153846,33.84615384615385,2.15,0.3384615384615385,83,97,371.66,264.96000000000004,71.29096486035624,High,High,False
Sausage Biscuit,Other,3.0,0.81,0.1,0.1,1.01,33.7,27.0,3.3333333333333335,3.3333333333333335,33.666666666666664,1.99,0.33666666666666667,37,47,164.64,117.17,71.16739552964042,High,Low,False
Chicken Nuggets (6pc),Other,3.76,1.0,0.12,0.13,1.25,33.2,26.595744680851062,3.1914893617021276,3.4574468085106385,33.244680851063826,2.51,0.3324468085106383,31,44,174.56,119.56,68.49220898258478,High,High,False
Onion Rings,Other,3.14,0.83,0.1,0.11,1.04,33.1,26.43312101910828,3.1847133757961785,3.5031847133757963,33.12101910828025,2.1,0.33121019108280253,87,128,438.37,305.25,69.63295845974862,Low,Low,False
Soft Drink (Medium),Other,1.75,0.46,0.06,0.06,0.58,33.1,26.285714285714285,3.428571428571429,3.428571428571429,33.14285714285714,1.17,0.3314285714285714,64,101,198.59,140.01,70.50203937761216,Low,Low,False
Soft Drink (Small),Other,1.54,0.41,0.05,0.05,0.51,33.0,26.623376623376622,3.246753246753247,3.246753246753247,33.116883116883116,1.03,0.33116883116883117,16,22,42.8,31.58,73.78504672897196,Low,Low,False
Milkshake,Other,4.01,1.06,0.13,0.13,1.32,32.9,26.433915211970078,3.2418952618453867,3.2418952618453867,32.91770573566085,2.6899999999999995,0.3291770573566085,28,35,152.1,105.9,69.62524654832347,Low,High,False
Spicy Chicken Sandwich,Wrap,5.71,1.5,0.19,0.18,1.87,32.7,26.26970227670753,3.327495621716287,3.1523642732049035,32.749562171628725,3.84,0.3274956217162872,92,110,696.69,490.99,70.4746730970733,Low,High,False
Soft Drink (Large),Other,1.99,0.52,0.07,0.06,0.65,32.7,26.13065326633166,3.517587939698493,3.015075376884422,32.663316582914575,1.3399999999999999,0.32663316582914576,17,26,57.23,40.33,70.47003319937096,Low,Low,False
Double Cheeseburger,Burger,5.75,1.5,0.19,0.18,1.87,32.5,26.08695652173913,3.304347826086956,3.1304347826086953,32.52173913043478,3.88,0.32521739130434785,71,83,513.31,358.0999999999999,69.76291130116303,Low,High,False
Spicy Chicken Combo,Other,9.24,2.38,0.3,0.29,2.97,32.1,25.757575757575758,3.2467532467532463,3.1385281385281383,32.142857142857146,6.27,0.32142857142857145,93,115,1127.35,785.8,69.70328646826628,Low,High,False
Latte,Other,3.29,0.83,0.1,0.11,1.04,31.6,25.227963525835868,3.0395136778115504,3.343465045592705,31.61094224924012,2.25,0.3161094224924012,40,47,172.14,123.26,71.60450795863832,Low,Low,False
Apple Pie,Other,1.54,0.38,0.05,0.05,0.48,31.2,24.675324675324674,3.246753246753247,3.246753246753247,31.16883116883117,1.06,0.3116883116883117,9,10,18.51,13.71,74.06807131280388,Low,Low,False
Chicken Nuggets (10pc),Other,5.01,1.25,0.16,0.15,1.56,31.1,24.950099800399204,3.1936127744510983,2.9940119760479043,31.137724550898206,3.4499999999999997,0.31137724550898205,46,80,429.96,305.16,70.97404409712532,Low,High,False
Brownie,Other,1.85,0.45,0.06,0.05,0.56,30.3,24.324324324324323,3.2432432432432425,2.7027027027027026,30.270270270270274,1.29,0.3027027027027027,10,10,21.7,16.099999999999998,74.19354838709677,Low,Low,False
Hash Browns,Other,1.9,0.46,0.06,0.05,0.57,29.9,24.210526315789476,3.1578947368421053,2.6315789473684212,30.0,1.33,0.3,46,51,123.69,94.62,76.49769585253456,Low,Low,False
French Fries,Sides,2.66,0.57,0.07,0.07,0.71,26.7,21.428571428571423,2.6315789473684212,2.6315789473684212,26.691729323308266,1.9500000000000002,0.26691729323308266,112,170,492.8,372.1,75.5073051948052,Low,Low,False
Iced Tea,Beverage,1.89,0.3,0.04,0.03,0.37,19.6,15.873015873015872,2.1164021164021167,1.5873015873015872,19.57671957671958,1.52,0.19576719576719578,31,38,84.27,70.21,83.31553340453304,Low,Low,False
Coffee,Beverage,1.93,0.27,0.03,0.04,0.34,17.6,13.989637305699484,1.5544041450777202,2.072538860103627,17.61658031088083,1.5899999999999999,0.1761658031088083,82,98,217.64,184.32,84.69031428046316,Low,Low,False
