menu_item,orders,quantity_sold,revenue,discount,category,selling_price,ingredient_cost,packaging_cost,labor_cost,total_cogs,food_cost_pct,supplier,total_cost,gross_profit,profit_margin_pct,avg_revenue_per_order,sales_level,profitability_level,menu_classification
Chicken Sandwich Combo,129,151,1494.64,16.92,Wrap,9.01,2.46,0.31,0.31,3.08,34.2,Fresh Farms,465.08,1029.5600000000002,68.88347695766205,11.586356589147288,High,Low,Problem Child
Cheeseburger Combo,119,150,1356.97,8.209999999999999,Burger,8.51,2.46,0.31,0.3,3.07,36.1,Fresh Farms,460.5,896.47,66.06409869046479,11.40310924369748,High,Low,Problem Child
Spicy Chicken Combo,93,115,1127.35,9.93,Other,9.24,2.38,0.3,0.29,2.97,32.1,Prime Foods,341.55,785.8,69.70328646826628,12.122043010752687,High,Low,Problem Child
Double Cheeseburger Combo,72,82,853.33,7.02,Burger,9.96,2.74,0.34,0.35,3.43,34.4,Fresh Farms,281.26,572.07,67.03971499888671,11.851805555555556,High,Low,Problem Child
Chicken Sandwich,109,133,806.92,9.71,Wrap,5.4,1.58,0.2,0.2,1.98,36.7,Fresh Farms,263.34,543.5799999999999,67.36479452733852,7.402935779816513,High,Low,Problem Child
Spicy Chicken Sandwich,92,110,696.69,7.13,Wrap,5.71,1.5,0.19,0.18,1.87,32.7,Fresh Farms,205.7,490.99,70.4746730970733,7.572717391304349,High,High,Star
Cheeseburger,102,122,577.33,7.48,Burger,4.51,1.34,0.17,0.16,1.67,37.0,Fresh Farms,203.74,373.59,64.7099579096877,5.660098039215686,High,Low,Problem Child
Double Cheeseburger,71,83,513.31,3.62,Burger,5.75,1.5,0.19,0.18,1.87,32.5,Fresh Farms,155.21,358.0999999999999,69.76291130116303,7.229718309859154,High,Low,Problem Child
French Fries,112,170,492.8,4.9,Sides,2.66,0.57,0.07,0.07,0.71,26.7,Golden Potatoes,120.7,372.1,75.5073051948052,4.4,High,High,Star
Onion Rings,87,128,438.37,3.62,Other,3.14,0.83,0.1,0.11,1.04,33.1,Prime Foods,133.12,305.25,69.63295845974862,5.038735632183908,High,Low,Problem Child
Chicken Nuggets (10pc),46,80,429.96,4.12,Other,5.01,1.25,0.16,0.15,1.56,31.1,Prime Foods,124.8,305.16,70.97404409712532,9.34695652173913,High,High,Star
Veggie Burger,54,66,396.39,3.03,Burger,5.26,1.51,0.19,0.19,1.89,35.9,Fresh Farms,124.74,271.65,68.53099220464694,7.3405555555555555,High,Low,Problem Child
Egg Muffin,83,97,371.66,3.5900000000000003,Other,3.25,0.88,0.11,0.11,1.1,33.8,Prime Foods,106.7,264.96000000000004,71.29096486035624,4.477831325301205,High,High,Star
Breakfast Burrito,55,66,290.02,4.23,Other,3.74,1.06,0.13,0.13,1.32,35.3,Prime Foods,87.12,202.9,69.96069236604372,5.273090909090909,High,Low,Problem Child
