modifier_clean,orders,quantity_sold,revenue,discount,avg_order_value,usage_share_pct,revenue_share_pct
No Modifier,1086,1375,7895.06,76.05,7.269852670349908,62.306368330464714,67.90917872235379
Extra Sauce,56,80,355.58,2.45,6.3496428571428565,3.2128514056224895,3.05851326906883
No Pickles,34,40,289.01,2.21,8.500294117647059,1.9506597819850833,2.485912930686716
Add Bacon,25,31,281.55,1.05,11.262,1.4343086632243258,2.421745910642694
Gluten-Free Bun,23,31,257.32,4.37,11.187826086956521,1.31956397016638,2.213332117657887
Add Jalapenos,25,31,223.48,0.79,8.9392,1.4343086632243258,1.9222581286110076
No Sauce,41,51,217.39,1.26,5.302195121951219,2.352266207687894,1.8698751323552305
Cinnamon,53,63,204.44,0.71,3.8573584905660376,3.040734366035571,1.7584860023860498
No Onions,20,25,180.16,1.42,9.008,1.1474469305794608,1.5496421355403576
Extra Egg,28,36,165.62,0.87,5.915,1.6064257028112447,1.4245766567950382
Spicy,22,24,164.15,1.27,7.461363636363637,1.262191623637407,1.4119324852850228
Extra Cheese,17,22,162.89,0.9,9.581764705882351,0.9753298909925416,1.401094623990724
No Cheese,39,45,148.88,1.59,3.8174358974358973,2.2375215146299485,1.280587928170784
Sausage Patty,26,33,140.75,4.11,5.413461538461538,1.4916810097532989,1.2106579183909045
Extra Patty,13,16,138.10999999999999,2.16,10.623846153846152,0.7458405048766494,1.1879500185361833
Large Size,20,33,121.78999999999999,0.43,6.089499999999999,1.1474469305794608,1.0475739103433623
Sugar-Free Syrup,39,44,118.85,1.73,3.0474358974358973,2.2375215146299485,1.0222855673233322
Small Size,27,44,115.82000000000001,0.98,4.28962962962963,1.549053356282272,0.9962230913537092
Almond Milk,29,36,101.96,1.3499999999999999,3.515862068965517,1.663798049340218,0.8770066171164236
Light Ice,32,42,85.76,2.2600000000000002,2.68,1.835915088927137,0.7376626861897263
Extra Ice,33,41,84.63,1.12,2.5645454545454545,1.8932874354561102,0.7279430169337282
No Ice,24,31,69.04,3.66,2.876666666666667,1.376936316695353,0.5938459871098263
Oat Milk,17,23,59.63,0.23,3.5076470588235296,0.9753298909925416,0.512906086491294
Caramel Topping,9,11,25.3,0.0,2.8111111111111113,0.5163511187607573,0.2176173736077434
Chocolate Topping,5,6,18.74,0.0,3.7479999999999998,0.2868617326448652,0.16119168305964865
