hour,orders,quantity_sold,revenue,discount,avg_order_value,revenue_share_pct
11,201,266,1407.07,9.67,7.000348258706468,12.102880548705436
14,138,170,1120.93,9.84,8.12268115942029,9.641653857633512
12,132,167,1112.9,11.16,8.431060606060607,9.572583995575403
20,113,147,1072.72,11.76,9.493097345132744,9.226976640968322
19,110,135,961.37,15.4,8.739727272727272,8.26920215277772
13,102,132,940.45,5.17,9.220098039215687,8.08925924938349
18,101,124,934.91,7.29,9.256534653465346,8.041607065597447
21,106,127,894.0699999999999,9.96,8.434622641509433,7.690322736026686
10,131,156,470.7,2.6,3.593129770992366,4.048715326370152
17,91,124,380.36,3.69,4.17978021978022,3.2716578745233713
16,76,112,348.03,4.34,4.579342105263158,2.993572116075215
15,66,100,330.05,2.4000000000000004,5.000757575757576,2.8389175557010167
9,58,69,239.83,3.15,4.135,2.06289228112036
6,54,63,228.45,3.8600000000000003,4.230555555555555,1.9650074703829636
8,55,65,216.29,2.3,3.9325454545454543,1.860413507415764
23,35,46,213.05,2.89,6.087142857142857,1.8325447212304244
5,52,63,211.84,1.63,4.073846153846154,1.8221369337970108
7,51,60,199.81,2.75,3.917843137254902,1.7186611628681112
1,26,32,135.09,0.29,5.195769230769231,1.1619735573387378
22,21,26,104.67,0.78,4.984285714285714,0.9003166203763836
0,24,30,103.32,2.04,4.305,0.8887046261324921
