hour,orders,items_sold,revenue,avg_order_value,revenue_share_pct
0,24,30,103.32,4.305,0.8887046261324921
1,26,32,135.09,5.195769230769231,1.1619735573387378
5,52,63,211.84,4.073846153846154,1.8221369337970108
6,54,63,228.45,4.230555555555555,1.9650074703829636
7,51,60,199.81,3.917843137254902,1.7186611628681112
8,55,65,216.29,3.9325454545454543,1.860413507415764
9,58,69,239.83,4.135,2.06289228112036
10,131,156,470.7,3.593129770992366,4.048715326370152
11,201,266,1407.07,7.000348258706468,12.102880548705436
12,132,167,1112.9,8.431060606060607,9.572583995575403
13,102,132,940.45,9.220098039215687,8.08925924938349
14,138,170,1120.93,8.12268115942029,9.641653857633512
15,66,100,330.05,5.000757575757576,2.8389175557010167
16,76,112,348.03,4.579342105263158,2.993572116075215
17,91,124,380.36,4.17978021978022,3.2716578745233713
18,101,124,934.91,9.256534653465346,8.041607065597447
19,110,135,961.37,8.739727272727272,8.26920215277772
20,113,147,1072.72,9.493097345132744,9.226976640968322
21,106,127,894.0699999999999,8.434622641509433,7.690322736026686
22,21,26,104.67,4.984285714285714,0.9003166203763836
23,35,46,213.05,6.087142857142857,1.8325447212304244
