order_id,date,day_name,hour,daypart,service_mode,payment_type,items,order_revenue,discount,order_size
120000,2025-07-05,Saturday,6,Breakfast,Drive-Thru,Cash,1,1.43,0.15,1 Item
120001,2025-07-05,Saturday,11,Lunch,Dine-In,Card,1,5.79,0.0,1 Item
120002,2025-04-13,Sunday,8,Breakfast,Takeout,Cash,1,1.44,0.15,1 Item
120003,2025-06-25,Wednesday,6,Breakfast,Drive-Thru,Cash,1,3.96,0.0,1 Item
120004,2025-08-01,Friday,12,Lunch,Drive-Thru,Card,2,19.72,0.0,2 Items
120005,2025-07-12,Saturday,12,Lunch,Dine-In,Card,1,6.01,0.0,1 Item
120006,2025-07-26,Saturday,17,Afternoon,Delivery,MobilePay,1,3.34,0.54,1 Item
120007,2025-07-21,Monday,16,Afternoon,Takeout,Cash,1,1.64,0.27,1 Item
120008,2025-06-02,Monday,23,Late Night,Delivery,Card,2,11.73,0.0,2 Items
120009,2025-07-12,Saturday,5,Breakfast,Drive-Thru,Card,1,2.12,0.0,1 Item
120010,2025-04-19,Saturday,21,Dinner,Takeout,Card,1,5.88,0.0,1 Item
120011,2025-07-16,Wednesday,11,Morning,Dine-In,Card,1,1.63,0.0,1 Item
120012,2025-06-08,Sunday,8,Breakfast,Takeout,Card,2,9.24,0.0,2 Items
120013,2025-07-13,Sunday,10,Morning,Takeout,Cash,2,4.69,0.0,2 Items
120014,2025-04-11,Friday,12,Lunch,Dine-In,Card,1,9.1,0.0,1 Item
120015,2025-05-22,Thursday,9,Breakfast,Delivery,Card,1,3.33,0.0,1 Item
120016,2025-04-27,Sunday,9,Breakfast,Drive-Thru,MobilePay,1,3.21,0.0,1 Item
120017,2025-04-16,Wednesday,11,Lunch,Takeout,Card,1,5.0,0.0,1 Item
120018,2025-06-23,Monday,9,Breakfast,Takeout,Card,2,8.17,0.0,2 Items
120019,2025-07-10,Thursday,19,Dinner,Dine-In,Card,1,5.49,0.0,1 Item
120020,2025-04-14,Monday,11,Morning,Drive-Thru,MobilePay,1,2.67,0.0,1 Item
120021,2025-07-07,Monday,6,Breakfast,Dine-In,Cash,1,3.34,0.0,1 Item
120022,2025-04-11,Friday,17,Afternoon,Dine-In,Card,1,1.88,0.0,1 Item
120023,2025-04-11,Friday,14,Lunch,Drive-Thru,Cash,1,5.5,0.0,1 Item
120024,2025-07-04,Friday,17,Afternoon,Takeout,Card,1,1.69,0.0,1 Item
120025,2025-05-28,Wednesday,19,Dinner,Takeout,Card,1,6.49,0.0,1 Item
120026,2025-05-30,Friday,17,Afternoon,Drive-Thru,Cash,1,4.04,0.0,1 Item
120027,2025-07-05,Saturday,16,Afternoon,Dine-In,Card,1,2.62,0.0,1 Item
120028,2025-06-21,Saturday,18,Dinner,Drive-Thru,Card,1,4.65,0.0,1 Item
120029,2025-08-06,Wednesday,14,Lunch,Delivery,Card,3,17.19,0.0,3 Items
120030,2025-06-22,Sunday,7,Breakfast,Takeout,Cash,1,3.11,0.15,1 Item
120031,2025-07-09,Wednesday,19,Dinner,Delivery,Card,2,20.25,0.0,2 Items
120032,2025-07-27,Sunday,22,Late Night,Drive-Thru,MobilePay,1,7.11,0.0,1 Item
120033,2025-06-26,Thursday,21,Dinner,Dine-In,Cash,1,4.47,0.0,1 Item
120034,2025-04-14,Monday,17,Afternoon,Takeout,MobilePay,1,2.15,0.0,1 Item
120035,2025-06-29,Sunday,12,Lunch,Takeout,Card,1,6.37,0.0,1 Item
120036,2025-08-07,Thursday,11,Lunch,Takeout,Card,1,10.28,0.0,1 Item
120037,2025-05-06,Tuesday,12,Lunch,Drive-Thru,Card,1,8.59,0.0,1 Item
120038,2025-05-31,Saturday,0,Late Night,Drive-Thru,Cash,1,4.37,0.0,1 Item
120039,2025-05-28,Wednesday,11,Lunch,Drive-Thru,MobilePay,1,4.89,0.0,1 Item
120040,2025-05-22,Thursday,11,Lunch,Dine-In,Unknown,1,10.25,0.0,1 Item
120041,2025-07-04,Friday,14,Lunch,Dine-In,Card,1,10.74,0.0,1 Item
120042,2025-05-25,Sunday,20,Dinner,Takeout,Card,1,8.94,0.0,1 Item
120043,2025-08-07,Thursday,17,Afternoon,Takeout,Cash,1,5.31,0.0,1 Item
120044,2025-06-28,Saturday,21,Dinner,Unknown,MobilePay,1,9.99,0.0,1 Item
120045,2025-08-03,Sunday,12,Lunch,Delivery,Card,1,8.74,0.0,1 Item
120046,2025-07-01,Tuesday,18,Dinner,Dine-In,GiftCard,1,3.88,0.0,1 Item
120047,2025-07-16,Wednesday,9,Breakfast,Drive-Thru,MobilePay,1,2.36,0.0,1 Item
120048,2025-06-13,Friday,21,Dinner,Delivery,Card,1,9.4,0.0,1 Item
120049,2025-05-17,Saturday,12,Lunch,Dine-In,GiftCard,2,8.42,1.98,2 Items
120050,2025-05-13,Tuesday,14,Lunch,Drive-Thru,MobilePay,1,2.98,0.0,1 Item
120051,2025-06-15,Sunday,18,Dinner,Delivery,Card,1,5.57,0.0,1 Item
120052,2025-07-30,Wednesday,9,Breakfast,Drive-Thru,Card,1,1.59,0.0,1 Item
120053,2025-06-26,Thursday,13,Lunch,Delivery,Card,1,8.5,0.0,1 Item
120054,2025-04-21,Monday,10,Breakfast,Drive-Thru,MobilePay,1,2.27,0.0,1 Item
120055,2025-04-16,Wednesday,17,Afternoon,Takeout,Card,2,4.36,0.0,2 Items
120056,2025-07-08,Tuesday,21,Dinner,Drive-Thru,Card,1,5.85,0.0,1 Item
120057,2025-06-23,Monday,10,Breakfast,Takeout,Card,1,5.35,0.0,1 Item
120058,2025-07-26,Saturday,15,Afternoon,Takeout,Card,1,4.18,0.0,1 Item
120059,2025-04-11,Friday,16,Afternoon,Takeout,Card,3,7.29,0.0,3 Items
120060,2025-05-19,Monday,17,Afternoon,Dine-In,Card,1,2.23,0.0,1 Item
120061,2025-04-22,Tuesday,6,Breakfast,Takeout,Unknown,1,5.29,0.0,1 Item
120062,2025-06-10,Tuesday,21,Dinner,Takeout,Card,1,8.69,0.0,1 Item
120063,2025-06-08,Sunday,17,Afternoon,Dine-In,Card,1,1.89,0.0,1 Item
120064,2025-05-12,Monday,5,Breakfast,Drive-Thru,Cash,1,2.21,0.0,1 Item
120065,2025-07-21,Monday,14,Lunch,Drive-Thru,Card,1,5.41,0.0,1 Item
120066,2025-05-09,Friday,18,Dinner,Dine-In,Card,1,9.13,0.0,1 Item
120067,2025-04-27,Sunday,22,Late Night,Drive-Thru,Cash,1,5.21,0.0,1 Item
120068,2025-06-03,Tuesday,6,Breakfast,Takeout,Card,2,6.64,0.0,2 Items
120069,2025-06-14,Saturday,14,Lunch,Drive-Thru,Card,1,8.78,0.0,1 Item
120070,2025-05-04,Sunday,20,Dinner,Dine-In,Card,1,9.49,0.0,1 Item
120071,2025-07-31,Thursday,13,Lunch,Takeout,Cash,1,10.09,0.0,1 Item
120072,2025-07-30,Wednesday,14,Lunch,Drive-Thru,Card,1,10.69,0.0,1 Item
120073,2025-07-08,Tuesday,6,Breakfast,Dine-In,MobilePay,1,4.07,0.0,1 Item
120074,2025-08-01,Friday,8,Breakfast,Takeout,Card,1,3.46,0.57,1 Item
120075,2025-04-30,Wednesday,17,Afternoon,Takeout,MobilePay,1,4.52,0.0,1 Item
120076,2025-05-11,Sunday,8,Breakfast,Delivery,Card,1,3.24,0.0,1 Item
120077,2025-04-22,Tuesday,10,Morning,Takeout,Card,1,4.12,0.0,1 Item
120078,2025-05-16,Friday,8,Breakfast,Dine-In,Card,1,4.3,0.0,1 Item
120079,2025-06-27,Friday,9,Breakfast,Takeout,Card,1,2.5,0.41,1 Item
120080,2025-04-28,Monday,14,Lunch,Dine-In,Cash,1,10.72,0.0,1 Item
120081,2025-05-31,Saturday,18,Dinner,Takeout,Card,1,6.39,0.0,1 Item
120082,2025-06-06,Friday,7,Breakfast,Drive-Thru,Card,1,5.17,0.0,1 Item
120083,2025-07-30,Wednesday,5,Breakfast,Drive-Thru,Card,1,1.91,0.0,1 Item
120084,2025-08-07,Thursday,17,Afternoon,Dine-In,Card,1,2.78,0.0,1 Item
120085,2025-06-21,Saturday,14,Lunch,Takeout,Card,1,10.37,0.0,1 Item
120086,2025-05-14,Wednesday,21,Dinner,Delivery,MobilePay,1,5.09,0.0,1 Item
120087,2025-08-05,Tuesday,12,Lunch,Drive-Thru,Card,1,10.25,0.0,1 Item
120088,2025-04-29,Tuesday,13,Lunch,Drive-Thru,Card,1,9.86,0.0,1 Item
120089,2025-05-08,Thursday,13,Lunch,Dine-In,GiftCard,1,5.52,0.0,1 Item
120090,2025-05-19,Monday,11,Morning,Drive-Thru,Card,1,2.04,0.0,1 Item
120091,2025-06-21,Saturday,11,Lunch,Dine-In,Card,2,4.3,0.0,2 Items
120092,2025-05-11,Sunday,15,Afternoon,Dine-In,Card,2,10.28,0.0,2 Items
120093,2025-05-28,Wednesday,13,Lunch,Drive-Thru,Card,1,3.32,0.0,1 Item
120094,2025-05-14,Wednesday,13,Lunch,Drive-Thru,Card,1,9.32,0.0,1 Item
120095,2025-04-11,Friday,13,Lunch,Dine-In,Cash,1,9.04,0.0,1 Item
