date,day_name,dayofweek,is_weekend,orders,units_sold,revenue,discount,revenue_orders,avg_order_value
2025-04-11,Friday,4,0,18,21,103.84,0.26,18,5.768888888888889
2025-04-12,Saturday,5,1,14,15,98.98,0.6799999999999999,14,7.07
2025-04-13,Sunday,6,1,15,22,86.25999999999999,0.87,15,5.750666666666666
2025-04-14,Monday,0,0,16,20,90.83,0.0,16,5.676875
2025-04-15,Tuesday,1,0,11,12,79.44,0.0,11,7.221818181818182
2025-04-16,Wednesday,2,0,24,31,170.58,0.0,24,7.107500000000001
2025-04-17,Thursday,3,0,18,27,157.22,2.83,18,8.734444444444444
2025-04-18,Friday,4,0,15,20,116.57000000000001,0.57,15,7.771333333333334
2025-04-19,Saturday,5,1,14,21,115.47,1.02,14,8.247857142857143
2025-04-20,Sunday,6,1,12,16,103.21,0.64,12,8.600833333333332
2025-04-21,Monday,0,0,15,20,102.67999999999999,2.5300000000000002,15,6.845333333333333
2025-04-22,Tuesday,1,0,16,22,109.34,0.0,16,6.83375
2025-04-23,Wednesday,2,0,9,12,59.37,1.36,9,6.596666666666667
2025-04-24,Thursday,3,0,13,20,101.95,0.78,13,7.842307692307693
2025-04-25,Friday,4,0,11,18,89.42,0.0,11,8.129090909090909
2025-04-26,Saturday,5,1,15,15,89.13,2.74,15,5.941999999999999
2025-04-27,Sunday,6,1,14,18,85.7,1.24,14,6.121428571428572
2025-04-28,Monday,0,0,10,13,74.74000000000001,0.0,10,7.474000000000001
2025-04-29,Tuesday,1,0,14,17,72.5,0.0,14,5.178571428571429
2025-04-30,Wednesday,2,0,21,22,135.43,0.0,21,6.44904761904762
2025-05-01,Thursday,3,0,11,12,41.35,0.0,11,3.7590909090909093
2025-05-02,Friday,4,0,12,14,78.61,0.0,12,6.550833333333333
2025-05-03,Saturday,5,1,6,7,31.080000000000002,1.01,6,5.180000000000001
2025-05-04,Sunday,6,1,20,27,140.49,2.63,20,7.024500000000001
2025-05-05,Monday,0,0,11,15,93.64,0.88,11,8.512727272727274
2025-05-06,Tuesday,1,0,15,16,86.9,0.38,14,6.207142857142857
2025-05-07,Wednesday,2,0,13,18,79.78,0.96,13,6.136923076923077
2025-05-08,Thursday,3,0,19,24,97.74,0.0,19,5.144210526315789
2025-05-09,Friday,4,0,17,19,107.7,1.5999999999999999,17,6.335294117647059
2025-05-10,Saturday,5,1,11,15,77.82,0.82,11,7.074545454545454
2025-05-11,Sunday,6,1,16,21,98.25,0.0,16,6.140625
2025-05-12,Monday,0,0,12,13,57.42,2.02,11,5.22
2025-05-13,Tuesday,1,0,12,16,75.16,0.84,12,6.263333333333333
2025-05-14,Wednesday,2,0,23,31,139.51,1.91,23,6.065652173913043
2025-05-15,Thursday,3,0,9,10,51.81,0.48,9,5.756666666666667
2025-05-16,Friday,4,0,13,16,84.26,0.0,13,6.481538461538462
2025-05-17,Saturday,5,1,17,24,109.76,3.4,17,6.456470588235295
2025-05-18,Sunday,6,1,11,14,72.67,2.6,11,6.606363636363636
2025-05-19,Monday,0,0,13,14,71.1,0.73,13,5.4692307692307685
2025-05-20,Tuesday,1,0,13,19,70.43,0.42,13,5.417692307692308
2025-05-21,Wednesday,2,0,8,11,57.3,1.4100000000000001,8,7.1625
2025-05-22,Thursday,3,0,14,18,110.75,1.06,14,7.910714285714286
2025-05-23,Friday,4,0,18,21,111.03,1.56,18,6.168333333333333
2025-05-24,Saturday,5,1,14,18,97.63,0.62,13,7.51
2025-05-25,Sunday,6,1,13,15,77.22999999999999,0.47,13,5.94076923076923
2025-05-26,Monday,0,0,12,16,113.52,0.68,12,9.459999999999999
2025-05-27,Tuesday,1,0,14,17,121.39999999999999,3.2,14,8.67142857142857
2025-05-28,Wednesday,2,0,22,26,145.17,0.0,21,6.912857142857142
2025-05-29,Thursday,3,0,16,23,135.67000000000002,1.62,16,8.479375000000001
2025-05-30,Friday,4,0,20,22,101.63,0.0,20,5.0815
2025-05-31,Saturday,5,1,15,18,92.51,1.06,14,6.607857142857143
2025-06-01,Sunday,6,1,22,27,140.31,1.72,22,6.377727272727273
2025-06-02,Monday,0,0,16,23,134.97,6.79,16,8.435625
2025-06-03,Tuesday,1,0,19,28,143.11,0.72,19,7.532105263157895
2025-06-04,Wednesday,2,0,15,21,124.7,2.48,15,8.313333333333334
2025-06-05,Thursday,3,0,12,14,62.82,0.4,12,5.235
2025-06-06,Friday,4,0,8,10,48.84,1.53,8,6.105
2025-06-07,Saturday,5,1,13,19,106.16,2.96,13,8.166153846153845
2025-06-08,Sunday,6,1,15,18,91.06,1.43,15,6.070666666666667
2025-06-09,Monday,0,0,11,11,45.36,0.0,9,5.04
2025-06-10,Tuesday,1,0,13,17,62.47,0.2,12,5.2058333333333335
2025-06-11,Wednesday,2,0,14,22,89.33,1.04,13,6.871538461538462
2025-06-12,Thursday,3,0,17,20,114.86,0.9,17,6.7564705882352944
2025-06-13,Friday,4,0,16,19,110.82,0.36,16,6.92625
2025-06-14,Saturday,5,1,12,12,74.44,0.43,12,6.203333333333333
2025-06-15,Sunday,6,1,14,20,92.62,0.0,14,6.615714285714286
2025-06-16,Monday,0,0,18,22,107.07000000000001,1.3,18,5.948333333333334
2025-06-17,Tuesday,1,0,18,25,149.07,0.0,18,8.281666666666666
2025-06-18,Wednesday,2,0,17,22,119.0,1.82,17,7.0
2025-06-19,Thursday,3,0,8,9,37.32,0.56,8,4.665
