order_id,store_id,transaction_datetime,business_day,daypart,service_mode,menu_item,modifier,quantity,unit_price,discount,tax,total_amount,payment_type,date,year,month,month_name,day,day_name,hour,dayofweek,week,quarter,is_weekend
120000,102,2025-07-05 06:14:08,2025-07-05,Breakfast,Drive-Thru,Bottled Water,,1,1.48,0.15,0.1,1.43,Cash,2025-07-05,2025,7,July,5,Saturday,6,5,27,3,1
120001,201,2025-07-05 11:48:51,2025-07-05,Lunch,Dine-In,Chicken Sandwich,,1,5.34,0.0,0.45,5.79,Card,2025-07-05,2025,7,July,5,Saturday,11,5,27,3,1
120002,403,2025-04-13 08:05:35,2025-04-13,Breakfast,Takeout,Bottled Water,Light Ice,1,1.49,0.15,0.1,1.44,Cash,2025-04-13,2025,4,April,13,Sunday,8,6,15,2,1
120003,301,2025-06-25 06:42:17,2025-06-25,Breakfast,Drive-Thru,Egg Muffin,No Cheese,1,3.62,0.0,0.34,3.96,Cash,2025-06-25,2025,6,June,25,Wednesday,6,2,26,2,0
120004,301,2025-08-01 12:58:36,2025-08-01,Lunch,Drive-Thru,Spicy Chicken Combo,,2,9.17,0.0,1.38,19.72,Card,2025-08-01,2025,8,August,1,Friday,12,4,31,3,0
120005,501,2025-07-12 12:32:31,2025-07-12,Lunch,Dine-In,Double Cheeseburger,,1,5.64,0.0,0.37,6.01,Card,2025-07-12,2025,7,July,12,Saturday,12,5,28,3,1
120006,101,2025-07-26 17:56:34,2025-07-26,Afternoon,Delivery,Onion Rings,,1,3.59,0.54,0.29,3.34,MobilePay,2025-07-26,2025,7,July,26,Saturday,17,5,30,3,1
120007,403,2025-07-21 16:48:10,2025-07-21,Afternoon,Takeout,Soft Drink (Medium),,1,1.8,0.27,0.11,1.64,Cash,2025-07-21,2025,7,July,21,Monday,16,0,30,3,0
120008,102,2025-06-02 23:08:42,2025-06-02,Late Night,Delivery,Chicken Sandwich,Extra Sauce,2,5.22,0.0,0.79,11.73,Card,2025-06-02,2025,6,June,2,Monday,23,0,23,2,0
120009,402,2025-07-12 05:21:01,2025-07-12,Breakfast,Drive-Thru,Hash Browns,,1,2.0,0.0,0.12,2.12,Card,2025-07-12,2025,7,July,12,Saturday,5,5,28,3,1
120010,103,2025-04-19 21:15:50,2025-04-19,Dinner,Takeout,Double Cheeseburger,,1,5.55,0.0,0.33,5.88,Card,2025-04-19,2025,4,April,19,Saturday,21,5,16,2,1
120011,102,2025-07-16 11:08:27,2025-07-16,Morning,Dine-In,Apple Pie,,1,1.53,0.0,0.1,1.63,Card,2025-07-16,2025,7,July,16,Wednesday,11,2,29,3,0
120012,201,2025-06-08 08:13:55,2025-06-08,Breakfast,Takeout,Sausage Biscuit,Sausage Patty,2,3.1,0.0,0.64,9.24,Card,2025-06-08,2025,6,June,8,Sunday,8,6,23,2,1
120013,103,2025-07-13 10:37:47,2025-07-13,Morning,Takeout,Coffee,Oat Milk,2,1.51,0.0,0.27,4.69,Cash,2025-07-13,2025,7,July,13,Sunday,10,6,28,3,1
