menu_item,category,selling_price,ingredient_cost,packaging_cost,labor_cost,total_cogs,food_cost_pct,supplier,last_updated
Apple Pie,Other,1.54,0.38,0.05,0.05,0.48,31.2,Prime Foods,2025-08-01
Bottled Water,Other,1.43,0.4,0.05,0.05,0.5,35.0,Prime Foods,2025-08-01
Breakfast Burrito,Other,3.74,1.06,0.13,0.13,1.32,35.3,Prime Foods,2025-08-01
Brownie,Other,1.85,0.45,0.06,0.05,0.56,30.3,Prime Foods,2025-08-01
Cheeseburger,Burger,4.51,1.34,0.17,0.16,1.67,37.0,Fresh Farms,2025-08-01
Cheeseburger Combo,Burger,8.51,2.46,0.31,0.3,3.07,36.1,Fresh Farms,2025-08-01
Chicken Nuggets (10pc),Other,5.01,1.25,0.16,0.15,1.56,31.1,Prime Foods,2025-08-01
Chicken Nuggets (6pc),Other,3.76,1.0,0.12,0.13,1.25,33.2,Prime Foods,2025-08-01
Chicken Sandwich,Wrap,5.4,1.58,0.2,0.2,1.98,36.7,Fresh Farms,2025-08-01
Chicken Sandwich Combo,Wrap,9.01,2.46,0.31,0.31,3.08,34.2,Fresh Farms,2025-08-01
Coffee,Beverage,1.93,0.27,0.03,0.04,0.34,17.6,Beverage Distributors,2025-08-01
Double Cheeseburger,Burger,5.75,1.5,0.19,0.18,1.87,32.5,Fresh Farms,2025-08-01
Double Cheeseburger Combo,Burger,9.96,2.74,0.34,0.35,3.43,34.4,Fresh Farms,2025-08-01
Egg Muffin,Other,3.25,0.88,0.11,0.11,1.1,33.8,Prime Foods,2025-08-01
French Fries,Sides,2.66,0.57,0.07,0.07,0.71,26.7,Golden Potatoes,2025-08-01
Hash Browns,Other,1.9,0.46,0.06,0.05,0.57,29.9,Prime Foods,2025-08-01
Ice Cream Cone,Other,1.63,0.46,0.06,0.06,0.58,35.6,Prime Foods,2025-08-01
Iced Tea,Beverage,1.89,0.3,0.04,0.03,0.37,19.6,Beverage Distributors,2025-08-01
Latte,Other,3.29,0.83,0.1,0.11,1.04,31.6,Prime Foods,2025-08-01
Milkshake,Other,4.01,1.06,0.13,0.13,1.32,32.9,Prime Foods,2025-08-01
Onion Rings,Other,3.14,0.83,0.1,0.11,1.04,33.1,Prime Foods,2025-08-01
Pancake Platter,Other,4.89,1.38,0.17,0.18,1.73,35.4,Prime Foods,2025-08-01
Sausage Biscuit,Other,3.0,0.81,0.1,0.1,1.01,33.7,Prime Foods,2025-08-01
Side Salad,Other,2.9,0.82,0.1,0.11,1.03,35.5,Prime Foods,2025-08-01
Soft Drink (Large),Other,1.99,0.52,0.07,0.06,0.65,32.7,Prime Foods,2025-08-01
Soft Drink (Medium),Other,1.75,0.46,0.06,0.06,0.58,33.1,Prime Foods,2025-08-01
Soft Drink (Small),Other,1.54,0.41,0.05,0.05,0.51,33.0,Prime Foods,2025-08-01
Spicy Chicken Combo,Other,9.24,2.38,0.3,0.29,2.97,32.1,Prime Foods,2025-08-01
Spicy Chicken Sandwich,Wrap,5.71,1.5,0.19,0.18,1.87,32.7,Fresh Farms,2025-08-01
Veggie Burger,Burger,5.26,1.51,0.19,0.19,1.89,35.9,Fresh Farms,2025-08-01
